customer_id,first_name,last_name,email,country,phone,created_at
C000001,Sherri,Chapman,theresabrown@example.net,Morocco,+1-286-625-2604x1529,2026-08-16 11:23:13.072386
C000002,Elizabeth,Spencer,nelsonmichele@example.org,Kenya,3495928298,2026-08-16 11:23:13.072599
C000003,Thomas,Lee,heatherfleming@example.net,Poland,(418)901-8685,2026-08-16 11:23:13.072776
C000004,Allison,Taylor,heather39@example.com,Malawi,357.620.6636x408,2026-08-16 11:23:13.072907
C000005,Elizabeth,Glenn,elizabethtaylor@example.com,Tanzania,(726)799-5051x3496,2026-08-16 11:23:13.073113
C000006,Alexandria,Tran,ysanchez@example.com,Martinique,6579005247,2026-08-16 11:23:13.073248
C000007,Jared,Leon,charleskirk@example.net,Afghanistan,+1-466-833-3334x9118,2026-08-16 11:23:13.073413
C000008,Steve,Green,sarah71@example.net,Iceland,001-905-487-5440,2026-08-16 11:23:13.073558
C000009,John,Martinez,adam59@example.net,Comoros,877-581-2442x36525,2026-08-16 11:23:13.073680
C000010,Christopher,Roberts,alvarezsharon@example.net,Mayotte,+1-212-684-3507x365,2026-08-16 11:23:13.073914
C000011,Tara,Sampson,youngdonna@example.net,Antarctica (the territory South of 60 deg S),001-414-425-4055,2026-08-16 11:23:13.074091
C000012,Sarah,Jimenez,donna86@example.org,Western Sahara,(677)746-4330x3041,2026-08-16 11:23:13.074217
C000013,Karen,Hudson,ryansmith@example.com,Mauritania,+1-666-330-8522x67654,2026-08-16 11:23:13.074389
C000014,Amy,Soto,timothygarcia@example.com,Italy,(281)716-9164x960,2026-08-16 11:23:13.074581
C000015,Sean,Hull,matthew13@example.com,United States of America,001-869-570-6423,2026-08-16 11:23:13.074708
C000016,Joseph,Nelson,bradley31@example.org,Falkland Islands (Malvinas),+1-210-735-9115x80135,2026-08-16 11:23:13.074836
C000017,Ronnie,Williams,michael30@example.org,Seychelles,001-886-885-4634,2026-08-16 11:23:13.074964
C000018,Angela,Anthony,melinda44@example.net,Saint Kitts and Nevis,001-290-461-2040x3570,2026-08-16 11:23:13.075090
C000019,Cassandra,Baldwin,rjones@example.com,Falkland Islands (Malvinas),781-874-8316x397,2026-08-16 11:23:13.075233
C000020,David,Taylor,taylorkaren@example.com,Sao Tome and Principe,884.678.5774x48144,2026-08-16 11:23:13.075407
C000021,Brandon,Pena,crossamy@example.com,Kiribati,926-387-4457x15840,2026-08-16 11:23:13.075599
C000022,Laura,Davidson,aguerrero@example.net,Cuba,(911)757-0038x2396,2026-08-16 11:23:13.075736
C000023,Mary,Washington,kenneth93@example.com,Montserrat,458.329.4545x918,2026-08-16 11:23:13.075860
C000024,Melanie,Oneal,martin82@example.com,Ecuador,001-786-535-2632x7440,2026-08-16 11:23:13.075982
C000025,Ashley,Gutierrez,janet67@example.org,Reunion,(949)995-4599x073,2026-08-16 11:23:13.076104
C000026,Ricky,Torres,peterguerrero@example.net,Antigua and Barbuda,+1-785-533-4053x047,2026-08-16 11:23:13.076272
C000027,Steven,Warren,craig28@example.com,Russian Federation,001-841-412-2207x50208,2026-08-16 11:23:13.076396
C000028,Joy,Mcdonald,ltucker@example.com,Somalia,+1-341-615-5617x5423,2026-08-16 11:23:13.076547
C000029,Richard,Yang,fwang@example.org,Angola,001-942-653-5751x90669,2026-08-16 11:23:13.076691
C000030,Jessica,Smith,elizabeththompson@example.org,Sudan,+1-752-825-6836x9293,2026-08-16 11:23:13.076864
C000031,Gail,Mendoza,kevinbaker@example.net,Lithuania,+1-713-727-5381,2026-08-16 11:23:13.077033
C000032,Cynthia,Cruz,ztaylor@example.net,Cameroon,653.890.7533,2026-08-16 11:23:13.077171
C000033,Kristen,Taylor,kimberly59@example.net,Botswana,889.643.4076,2026-08-16 11:23:13.077296
C000034,Amy,Chase,kathleenwest@example.net,Nicaragua,+1-816-694-2119,2026-08-16 11:23:13.077472
C000035,Karen,Williams,nathanielallen@example.net,Dominican Republic,001-963-700-6987x6468,2026-08-16 11:23:13.077655
C000036,Jessica,Chambers,leedonald@example.com,Paraguay,+1-340-235-1266,2026-08-16 11:23:13.077824
C000037,Ashley,Lopez,robertreilly@example.org,Germany,546.634.7499x846,2026-08-16 11:23:13.077996
C000038,Paige,Pugh,russellsandoval@example.com,Sweden,256-584-9739,2026-08-16 11:23:13.078164
C000039,Brittney,Patton,derrick57@example.net,Martinique,(857)672-3483x32113,2026-08-16 11:23:13.078289
C000040,Julie,Sanchez,sarahmarks@example.net,Liechtenstein,738.244.3238x14695,2026-08-16 11:23:13.078460
C000041,Cheryl,Vargas,jwoods@example.com,Heard Island and McDonald Islands,001-487-632-3906,2026-08-16 11:23:13.078610
C000042,David,Martinez,ellenperry@example.net,India,+1-772-465-5177,2026-08-16 11:23:13.078795
C000043,Anthony,Rosales,ycantrell@example.org,Mexico,(975)583-9208,2026-08-16 11:23:13.078938
C000044,Corey,Wood,whitney20@example.org,Faroe Islands,+1-973-954-1019x026,2026-08-16 11:23:13.079066
C000045,William,Wilson,fschneider@example.net,South Africa,001-330-635-3697x598,2026-08-16 11:23:13.079209
